field,2010/09/15,2010/09/16,2010/09/17,2010/09/19,2010/09/20,2010/09/21,2010/09/22,2010/09/23,2010/09/24,2010/09/25,2010/09/26,2010/09/27,2010/09/28,2010/09/29,2010/09/30
Température maximale,29°,31°,25°,29°,25°,27°,34°,33°,35°,34°,22°,25°,27°,20°,22°
Température minimale,17°,17°,18°,16°,16°,15°,18°,21°,21°,21°,17°,20°,21°,16°,17°
Vitesse du vent,8km/h,16km/h,15km/h,5km/h,18km/h,13km/h,13km/h,8km/h,16km/h,11km/h,13km/h,18km/h,20km/h,8km/h,18km/h
Température du vent,17°,17°,18°,16°,16°,15°,18°,21°,21°,21°,17°,20°,21°,16°,17°
Précipitations,0mm,1mm,2mm,,,,,,,0mm,3mm,26mm,9mm,6mm,22mm
Humidité,72%,93%,95%,80%,83%,72%,85%,85%,80%,68%,81%,99%,98%,91%,92%
Visibilité,10km,8.75km,9.625km,10km,10km,10km,10km,9km,9km,10km,8.75km,4.875km,9.5km,8.375km,8.25km
Couverture nuageuse,7%,46%,24%,10%,10%,1%,13%,7%,6%,6%,66%,96%,55%,39%,45%
Indice de chaleur,29,31,26,29,25,26,37,37,36,36,25,27,27,20,24
Point de rosée,15°C,18°C,17°C,15°C,17°C,14°C,20°C,22°C,21°C,19°C,15°C,23°C,20°C,17°C,17°C
Pression,1020hPa,1019hPa,1020hPa,1021hPa,1019hPa,1023hPa,1019hPa,1022hPa,1020hPa,1013hPa,1016hPa,1014hPa,1010hPa,1014hPa,1013hPa
Heure du lever du soleil,05:50:00,05:51:00,05:51:00,05:53:00,05:54:00,05:55:00,05:56:00,05:57:00,05:58:00,05:59:00,05:59:00,06:00:00,06:01:00,06:02:00,06:03:00
Heure du coucher du soleil,18:16:00,18:15:00,18:13:00,18:10:00,18:08:00,18:07:00,18:05:00,18:04:00,18:02:00,18:00:00,17:59:00,17:57:00,17:56:00,17:54:00,17:53:00
Durée du jour,12:26:0,12:24:0,12:22:0,12:17:0,12:14:0,12:12:0,12:9:0,12:7:0,12:4:0,12:1:0,12:0:0,11:57:0,11:55:0,11:52:0,11:50:0
,,,,,,,,,,,,,,,
