field,2011/02/01,2011/02/02,2011/02/03,2011/02/04,2011/02/05,2011/02/06,2011/02/07,2011/02/08,2011/02/09,2011/02/10,2011/02/11,2011/02/12,2011/02/13,2011/02/14,2011/02/15,2011/02/16,2011/02/17,2011/02/18,2011/02/19,2011/02/20,2011/02/21,2011/02/22,2011/02/23,2011/02/24,2011/02/25,2011/02/26,2011/02/27,2011/02/28
Température maximale,3°,9°,1°,5°,3°,7°,8°,4°,3°,0°,9°,7°,10°,13°,7°,11°,17°,22°,10°,9°,12°,1°,10°,12°,16°,7°,14°,21°
Température minimale,-1°,4°,-6°,-4°,0°,-2°,-2°,-1°,-5°,-5°,-6°,-3°,-1°,2°,-3°,-1°,3°,10°,6°,-1°,6°,-4°,0°,0°,6°,1°,4°,8°
Vitesse du vent,13km/h,28km/h,22km/h,9km/h,13km/h,14km/h,10km/h,35km/h,14km/h,24km/h,8km/h,31km/h,25km/h,36km/h,20km/h,24km/h,14km/h,24km/h,47km/h,16km/h,21km/h,18km/h,8km/h,22km/h,50km/h,17km/h,8km/h,30km/h
Température du vent,-6°,1°,-12°,-5°,-3°,-7°,-4°,-8°,-9°,-12°,-9°,-8°,-6°,-2°,-9°,-6°,0°,8°,1°,-6°,3°,-10°,-3°,-3°,4°,0°,2°,7°
Précipitations,7mm,25mm,0mm,0mm,4mm,1mm,0mm,4mm,1mm,2mm,0mm,,0mm,1mm,0mm,,,,,0mm,6mm,6mm,0mm,2mm,5mm,0mm,0mm,59mm
Humidité,91%,100%,88%,82%,99%,94%,97%,93%,59%,73%,82%,57%,87%,84%,79%,75%,94%,89%,38%,63%,66%,87%,67%,74%,99%,77%,78%,97%
Visibilité,7.5km,7.5km,10km,10km,3.625km,10km,4.25km,8.25km,10km,9.375km,10km,10km,10km,9.875km,10km,10km,9km,10km,10km,10km,8km,8.375km,10km,9.75km,8.375km,10km,10km,7.125km
Couverture nuageuse,47%,54%,13%,33%,80%,20%,45%,40%,42%,17%,2%,18%,29%,6%,2%,24%,25%,6%,0%,16%,87%,54%,3%,37%,58%,16%,19%,65%
Indice de chaleur,3,9,1,5,3,7,8,4,3,0,9,7,10,13,7,11,17,24,10,9,12,1,10,12,16,7,14,21
Point de rosée,1°C,9°C,0°C,1°C,3°C,4°C,6°C,4°C,0°C,,,0°C,3°C,5°C,0°C,4°C,11°C,11°C,0°C,0°C,4°C,0°C,0°C,8°C,12°C,1°C,5°C,16°C
Pression,1025hPa,1021hPa,1031hPa,1029hPa,1018hPa,1018hPa,1018hPa,1026hPa,1028hPa,1023hPa,1023hPa,1022hPa,1023hPa,1015hPa,1031hPa,1030hPa,1023hPa,1016hPa,1022hPa,1027hPa,1013hPa,1025hPa,1029hPa,1027hPa,1019hPa,1025hPa,1017hPa,1014hPa
Heure du lever du soleil,07:15:00,07:14:00,07:13:00,07:12:00,07:11:00,07:10:00,07:09:00,07:08:00,07:07:00,07:06:00,07:05:00,07:03:00,07:02:00,07:01:00,07:00:00,06:59:00,06:57:00,06:56:00,06:55:00,06:53:00,06:52:00,06:51:00,06:49:00,06:48:00,06:47:00,06:45:00,06:44:00,06:42:00
Heure du coucher du soleil,17:30:00,17:31:00,17:32:00,17:33:00,17:34:00,17:35:00,17:36:00,17:38:00,17:39:00,17:40:00,17:41:00,17:42:00,17:43:00,17:44:00,17:46:00,17:47:00,17:48:00,17:49:00,17:50:00,17:51:00,17:52:00,17:53:00,17:54:00,17:55:00,17:56:00,17:58:00,17:59:00,18:00:00
Durée du jour,10:15:0,10:17:0,10:19:0,10:21:0,10:23:0,10:25:0,10:27:0,10:30:0,10:32:0,10:34:0,10:36:0,10:39:0,10:41:0,10:43:0,10:46:0,10:48:0,10:51:0,10:53:0,10:55:0,10:58:0,11:0:0,11:2:0,11:5:0,11:7:0,11:9:0,11:13:0,11:15:0,11:18:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
