field,2012/02/01,2012/02/02,2012/02/03,2012/02/04,2012/02/05,2012/02/06,2012/02/07,2012/02/08,2012/02/09,2012/02/10,2012/02/11,2012/02/12,2012/02/13,2012/02/14,2012/02/15,2012/02/16,2012/02/17,2012/02/18,2012/02/19,2012/02/20,2012/02/21,2012/02/22,2012/02/23,2012/02/24,2012/02/25,2012/02/26,2012/02/27,2012/02/28,2012/02/29
Température maximale,16°,13°,9°,11°,9°,11°,11°,6°,7°,10°,5°,0°,5°,12°,9°,9°,10°,12°,7°,9°,11°,14°,17°,24°,6°,8°,16°,10°,13°
Température minimale,6°,6°,-1°,1°,3°,1°,0°,1°,-2°,0°,1°,-6°,-5°,1°,2°,4°,3°,0°,-1°,0°,-1°,3°,7°,14°,2°,-2°,0°,-1°,3°
Vitesse du vent,14km/h,15km/h,14km/h,8km/h,12km/h,17km/h,15km/h,13km/h,18km/h,7km/h,22km/h,31km/h,17km/h,20km/h,23km/h,18km/h,23km/h,24km/h,19km/h,22km/h,24km/h,26km/h,17km/h,33km/h,36km/h,13km/h,22km/h,18km/h,19km/h
Température du vent,3°,3°,-5°,0°,0°,-2°,-4°,-3°,-8°,-2°,0°,-13°,-10°,0°,-1°,2°,-1°,0°,-6°,-5°,-4°,0°,4°,12°,-4°,-5°,-4°,-5°,0°
Précipitations,2mm,18mm,0mm,0mm,4mm,0mm,0mm,8mm,1mm,1mm,5mm,2mm,0mm,,0mm,2mm,0mm,0mm,9mm,0mm,0mm,1mm,2mm,10mm,0mm,,,0mm,26mm
Humidité,80%,95%,96%,91%,89%,95%,94%,88%,84%,95%,94%,61%,72%,67%,98%,84%,95%,98%,87%,73%,98%,100%,100%,89%,63%,83%,93%,87%,95%
Visibilité,9.5km,8.875km,9km,10km,9.75km,6.5km,9km,9.375km,10km,7.875km,9.125km,8.875km,10km,10km,10km,7km,7.5km,7.75km,8km,10km,8.75km,9.875km,8.625km,9.625km,10km,10km,10km,10km,8.25km
Couverture nuageuse,53%,49%,2%,36%,35%,29%,1%,71%,14%,48%,77%,16%,5%,46%,27%,61%,31%,19%,41%,7%,14%,22%,38%,68%,13%,1%,3%,6%,79%
Indice de chaleur,16,13,9,11,9,11,11,6,7,10,5,0,5,12,9,9,10,12,7,9,11,14,17,25,6,8,16,10,13
Point de rosée,10°C,9°C,1°C,4°C,1°C,2°C,2°C,3°C,1°C,2°C,1°C,0°C,0°C,2°C,3°C,7°C,6°C,4°C,0°C,0°C,3°C,8°C,9°C,16°C,0°C,0°C,5°C,2°C,12°C
Pression,1020hPa,1025hPa,1033hPa,1029hPa,1023hPa,1024hPa,1022hPa,1025hPa,1025hPa,1024hPa,1013hPa,1020hPa,1023hPa,1020hPa,1027hPa,1026hPa,1021hPa,1022hPa,1020hPa,1027hPa,1027hPa,1012hPa,1003hPa,1003hPa,1025hPa,1032hPa,1031hPa,1033hPa,1028hPa
Heure du lever du soleil,07:15:00,07:14:00,07:13:00,07:12:00,07:11:00,07:10:00,07:09:00,07:08:00,07:07:00,07:06:00,07:05:00,07:04:00,07:02:00,07:01:00,07:00:00,06:59:00,06:58:00,06:56:00,06:55:00,06:54:00,06:52:00,06:51:00,06:50:00,06:48:00,06:47:00,06:45:00,06:44:00,06:43:00,06:41:00
Heure du coucher du soleil,17:29:00,17:30:00,17:32:00,17:33:00,17:34:00,17:35:00,17:36:00,17:37:00,17:39:00,17:40:00,17:41:00,17:42:00,17:43:00,17:44:00,17:45:00,17:46:00,17:48:00,17:49:00,17:50:00,17:51:00,17:52:00,17:53:00,17:54:00,17:55:00,17:56:00,17:57:00,17:58:00,17:59:00,18:00:00
Durée du jour,10:14:0,10:16:0,10:19:0,10:21:0,10:23:0,10:25:0,10:27:0,10:29:0,10:32:0,10:34:0,10:36:0,10:38:0,10:41:0,10:43:0,10:45:0,10:47:0,10:50:0,10:53:0,10:55:0,10:57:0,11:0:0,11:2:0,11:4:0,11:7:0,11:9:0,11:12:0,11:14:0,11:16:0,11:19:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
