field,2012/11/01,2012/11/02,2012/11/03,2012/11/04,2012/11/05,2012/11/06,2012/11/07,2012/11/08,2012/11/09,2012/11/10,2012/11/11,2012/11/12,2012/11/13,2012/11/14,2012/11/15,2012/11/16,2012/11/17,2012/11/18,2012/11/19,2012/11/20,2012/11/21,2012/11/22,2012/11/23,2012/11/24,2012/11/25,2012/11/26,2012/11/27,2012/11/28,2012/11/29,2012/11/30
Température maximale,12°,11°,10°,10°,9°,10°,8°,11°,13°,19°,22°,23°,17°,12°,10°,13°,13°,14°,13°,18°,15°,17°,17°,12°,8°,13°,9°,9°,11°,14°
Température minimale,6°,4°,4°,4°,0°,0°,4°,3°,0°,6°,8°,11°,6°,1°,2°,5°,2°,1°,2°,4°,3°,2°,6°,0°,0°,2°,5°,-1°,2°,5°
Vitesse du vent,22km/h,28km/h,28km/h,13km/h,17km/h,12km/h,22km/h,24km/h,17km/h,9km/h,15km/h,21km/h,20km/h,16km/h,9km/h,12km/h,15km/h,15km/h,14km/h,9km/h,12km/h,8km/h,16km/h,27km/h,17km/h,10km/h,18km/h,19km/h,12km/h,4km/h
Température du vent,2°,2°,-3°,0°,-4°,-3°,0°,-2°,-5°,4°,6°,9°,2°,-4°,-2°,3°,-3°,-3°,-2°,1°,0°,-1°,4°,-6°,-4°,0°,0°,-5°,0°,3°
Précipitations,1mm,0mm,,,,0mm,1mm,1mm,0mm,,,0mm,12mm,0mm,,,,,,,,,,,,0mm,9mm,0mm,,
Humidité,93%,80%,96%,96%,99%,97%,73%,66%,96%,97%,100%,94%,89%,96%,97%,94%,99%,100%,100%,94%,100%,99%,90%,72%,73%,80%,96%,99%,81%,90%
Visibilité,10km,9km,10km,7km,6.5km,7.75km,8km,10km,10km,8.75km,7.5km,10km,9.375km,10km,6.75km,8km,8.75km,6.25km,6.5km,8.75km,6.25km,6.5km,10km,10km,10km,10km,7km,6.25km,10km,10km
Couverture nuageuse,60%,29%,33%,10%,13%,8%,80%,18%,6%,22%,29%,13%,50%,2%,68%,16%,9%,40%,40%,19%,39%,26%,17%,19%,22%,20%,89%,25%,3%,8%
Indice de chaleur,12,10,9,12,10,10,7,10,13,18,24,25,16,11,10,12,12,14,14,17,14,16,16,6,7,12,6,8,10,13
Point de rosée,2°C,1°C,0°C,0°C,2°C,6°C,1°C,0°C,4°C,8°C,10°C,15°C,15°C,1°C,3°C,5°C,3°C,5°C,6°C,8°C,8°C,8°C,8°C,0°C,0°C,2°C,5°C,1°C,0°C,3°C
Pression,1007hPa,1013hPa,1019hPa,1019hPa,1023hPa,1023hPa,1015hPa,1020hPa,1025hPa,1029hPa,1031hPa,1030hPa,1031hPa,1035hPa,1030hPa,1030hPa,1037hPa,1037hPa,1033hPa,1024hPa,1023hPa,1026hPa,1021hPa,1018hPa,1019hPa,1023hPa,1024hPa,1028hPa,1032hPa,1029hPa
Heure du lever du soleil,06:36:00,06:37:00,06:38:00,06:39:00,06:40:00,06:41:00,06:42:00,06:43:00,06:45:00,06:46:00,06:47:00,06:48:00,06:49:00,06:50:00,06:51:00,06:52:00,06:54:00,06:55:00,06:56:00,06:57:00,06:58:00,06:59:00,07:00:00,07:01:00,07:02:00,07:03:00,07:04:00,07:05:00,07:06:00,07:07:00
Heure du coucher du soleil,17:07:00,17:06:00,17:05:00,17:04:00,17:03:00,17:02:00,17:01:00,17:00:00,16:59:00,16:58:00,16:57:00,16:56:00,16:55:00,16:55:00,16:54:00,16:53:00,16:52:00,16:52:00,16:51:00,16:51:00,16:50:00,16:49:00,16:49:00,16:49:00,16:48:00,16:48:00,16:47:00,16:47:00,16:47:00,16:46:00
Durée du jour,10:31:0,10:29:0,10:27:0,10:25:0,10:23:0,10:21:0,10:19:0,10:17:0,10:14:0,10:12:0,10:10:0,10:8:0,10:6:0,10:5:0,10:3:0,10:1:0,9:58:0,9:57:0,9:55:0,9:54:0,9:52:0,9:50:0,9:49:0,9:48:0,9:46:0,9:45:0,9:43:0,9:42:0,9:41:0,9:39:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
