field,2016/01/01,2016/01/02,2016/01/03,2016/01/04,2016/01/05,2016/01/06,2016/01/07,2016/01/08,2016/01/09,2016/01/10,2016/01/11,2016/01/12,2016/01/13,2016/01/14,2016/01/15,2016/01/16,2016/01/17,2016/01/18,2016/01/19,2016/01/20,2016/01/21,2016/01/22,2016/01/27,2016/01/28,2016/01/29,2016/01/30,2016/01/31
Température maximale,8°,9°,9°,2°,3°,8°,5°,7°,12°,15°,3°,7°,-1°,9°,9°,9°,5°,-3°,-4°,-1°,0°,0°,3°,5°,3°,6°,12°
Température minimale,4°,3°,4°,0°,-8°,-6°,0°,4°,7°,11°,-2°,-1°,-6°,0°,3°,6°,-2°,-8°,-11°,-7°,-4°,-3°,1°,-7°,-1°,-4°,4°
Vitesse du vent,17km/h,12km/h,17km/h,24km/h,19km/h,6km/h,4km/h,7km/h,6km/h,33km/h,18km/h,29km/h,21km/h,15km/h,14km/h,27km/h,10km/h,27km/h,26km/h,12km/h,17km/h,15km/h,15km/h,8km/h,28km/h,14km/h,10km/h
Température du vent,0°,,0°,-6°,-17°,-7°,0°,3°,5°,7°,-7°,-7°,-13°,-4°,0°,1°,-3°,-17°,-20°,-14°,-11°,-6°,-4°,-7°,-4°,-3°,0°
Humidité,71%,76%,65%,75%,63%,90%,72%,91%,94%,90%,69%,54%,61%,54%,78%,94%,91%,51%,63%,83%,77%,84%,88%,98%,99%,83%,92%
Visibilité,10km,10km,10km,10km,10km,10km,10km,8km,8km,9.125km,10km,10km,10km,10km,9.5km,8.375km,10km,10km,10km,10km,10km,8km,8km,6.5km,7.5km,10km,10km
Couverture nuageuse,52%,2%,0%,29%,0%,11%,100%,100%,100%,66%,1%,59%,13%,8%,66%,62%,66%,13%,0%,63%,30%,95%,74%,55%,33%,12%,79%
Indice de chaleur,7,8,8,2,2,7,4,6,12,15,2,6,0,9,10,8,4,0,,,,,3,4,2,5,11
Point de rosée,1°C,1°C,3°C,0°C,,,0°C,3°C,10°C,14°C,0°C,,0°C,3°C,6°C,6°C,0°C,,,,,,3°C,3°C,0°C,2°C,10°C
Pression,1022hPa,1022hPa,1016hPa,1028hPa,1038hPa,1037hPa,1030hPa,1022hPa,1021hPa,1011hPa,1021hPa,1020hPa,1022hPa,1018hPa,1015hPa,1012hPa,1015hPa,1025hPa,1030hPa,1029hPa,1027hPa,1027hPa,1024hPa,1021hPa,1016hPa,1021hPa,1016hPa
Heure du lever du soleil,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:26:00,07:26:00,07:26:00,07:25:00,07:25:00,07:25:00,07:24:00,07:24:00,07:23:00,07:22:00,07:19:00,07:18:00,07:18:00,07:17:00,07:16:00
Heure du coucher du soleil,16:56:00,16:57:00,16:58:00,16:59:00,17:00:00,17:01:00,17:02:00,17:03:00,17:04:00,17:05:00,17:06:00,17:07:00,17:08:00,17:09:00,17:10:00,17:11:00,17:12:00,17:13:00,17:14:00,17:15:00,17:17:00,17:18:00,17:23:00,17:25:00,17:26:00,17:27:00,17:28:00
Durée du jour,9:29:0,9:30:0,9:31:0,9:32:0,9:33:0,9:34:0,9:35:0,9:36:0,9:37:0,9:38:0,9:39:0,9:40:0,9:42:0,9:43:0,9:44:0,9:46:0,9:47:0,9:48:0,9:50:0,9:51:0,9:54:0,9:56:0,10:4:0,10:7:0,10:8:0,10:10:0,10:12:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
