field,2016/08/01,2016/08/02,2016/08/03,2016/08/04,2016/08/05,2016/08/06,2016/08/07,2016/08/08,2016/08/09,2016/08/10,2016/08/11,2016/08/12,2016/08/13,2016/08/14,2016/08/15,2016/08/16,2016/08/17,2016/08/18,2016/08/19,2016/08/20,2016/08/21,2016/08/22,2016/08/23,2016/08/24,2016/08/25,2016/08/26,2016/08/27,2016/08/28,2016/08/29,2016/08/30,2016/08/31
Température maximale,31°,29°,28°,27°,31°,35°,30°,31°,27°,34°,32°,35°,38°,35°,33°,38°,33°,31°,32°,31°,30°,28°,27°,31°,30°,36°,33°,34°,32°,30°,31°
Température minimale,28°,25°,24°,21°,25°,23°,22°,22°,21°,27°,27°,26°,28°,28°,26°,30°,30°,25°,24°,27°,26°,20°,20°,21°,24°,28°,26°,23°,22°,23°,23°
Vitesse du vent,10km/h,10km/h,17km/h,12km/h,14km/h,16km/h,11km/h,14km/h,14km/h,16km/h,9km/h,15km/h,23km/h,19km/h,14km/h,22km/h,18km/h,13km/h,9km/h,13km/h,18km/h,17km/h,10km/h,14km/h,17km/h,16km/h,14km/h,11km/h,6km/h,13km/h,15km/h
Température du vent,27°,25°,24°,21°,24°,24°,23°,23°,21°,26°,26°,27°,29°,29°,27°,28°,29°,24°,25°,25°,24°,21°,21°,20°,22°,26°,27°,22°,23°,24°,24°
Précipitations,1mm,1mm,1mm,0mm,9mm,1mm,0mm,0mm,1mm,0mm,13mm,6mm,0mm,1mm,1mm,16mm,13mm,5mm,0mm,0mm,9mm,0mm,,,,0mm,1mm,1mm,0mm,1mm,1mm
Humidité,76%,96%,88%,97%,84%,85%,64%,71%,84%,90%,90%,74%,70%,69%,72%,83%,69%,91%,76%,90%,86%,69%,70%,70%,71%,82%,69%,96%,85%,66%,86%
Visibilité,9.875km,6.5km,10km,6.75km,8.25km,10km,10km,10km,7km,10km,9.625km,9.625km,10km,9.75km,9.875km,9.125km,9.125km,9.625km,10km,9.875km,9.25km,10km,10km,10km,10km,10km,10km,7.75km,10km,10km,10km
Couverture nuageuse,22%,83%,46%,42%,78%,19%,0%,37%,81%,70%,90%,55%,12%,17%,34%,21%,34%,54%,49%,40%,43%,0%,15%,76%,27%,4%,0%,29%,10%,13%,26%
Indice de chaleur,35,32,29,29,34,40,31,32,30,38,37,40,44,41,38,43,36,35,34,33,35,28,28,31,33,39,34,36,34,31,33
Point de rosée,23°C,24°C,22°C,21°C,24°C,25°C,18°C,19°C,24°C,24°C,26°C,24°C,24°C,24°C,24°C,25°C,23°C,25°C,24°C,23°C,24°C,17°C,16°C,17°C,21°C,23°C,22°C,23°C,23°C,19°C,23°C
Pression,1015hPa,1017hPa,1019hPa,1020hPa,1017hPa,1010hPa,1014hPa,1019hPa,1022hPa,1022hPa,1021hPa,1015hPa,1014hPa,1018hPa,1021hPa,1020hPa,1018hPa,1017hPa,1014hPa,1012hPa,1011hPa,1022hPa,1027hPa,1025hPa,1021hPa,1017hPa,1022hPa,1023hPa,1021hPa,1020hPa,1017hPa
Heure du lever du soleil,06:09:00,06:10:00,06:11:00,06:12:00,06:13:00,06:14:00,06:15:00,06:16:00,06:17:00,06:17:00,06:18:00,06:19:00,06:20:00,06:21:00,06:22:00,06:23:00,06:24:00,06:25:00,06:26:00,06:26:00,06:27:00,06:28:00,06:29:00,06:30:00,06:31:00,06:32:00,06:33:00,06:34:00,06:35:00,06:36:00,06:36:00
Heure du coucher du soleil,20:19:00,20:18:00,20:16:00,20:15:00,20:14:00,20:13:00,20:12:00,20:11:00,20:10:00,20:08:00,20:07:00,20:06:00,20:05:00,20:03:00,20:02:00,20:01:00,20:00:00,19:58:00,19:57:00,19:56:00,19:54:00,19:53:00,19:51:00,19:50:00,19:48:00,19:47:00,19:46:00,19:44:00,19:43:00,19:41:00,19:40:00
Durée du jour,14:10:0,14:8:0,14:5:0,14:3:0,14:1:0,13:59:0,13:57:0,13:55:0,13:53:0,13:51:0,13:49:0,13:47:0,13:45:0,13:42:0,13:40:0,13:38:0,13:36:0,13:33:0,13:31:0,13:30:0,13:27:0,13:25:0,13:22:0,13:20:0,13:17:0,13:15:0,13:13:0,13:10:0,13:8:0,13:5:0,13:4:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
