index,max_temp,min_temp,wind_speed,wind_temp,rain,hum,visibility,clouds,chaleur_index,rosee,pressure,sunrise,sunset,holiday,weekday,workday,avg_temp,string_date,year,month,day,wkday,casual,registered,cnt,atemp
2010-09-15,29.0,17.0,2.2222222222222223,17.0,0.0,0.72,10.0,7.0,29.0,15.0,1020.0,5.0,18.0,0.0,3.0,1.0,23.0,2010/09/15,2010,9,15,2,1,0,1,24.857298119855706
2010-09-16,31.0,17.0,4.444444444444445,17.0,1.0,0.93,8.75,46.0,31.0,18.0,1019.0,5.0,18.0,0.0,4.0,1.0,24.0,2010/09/16,2010,9,16,3,1,0,1,25.682248949194268
2010-09-17,25.0,18.0,4.166666666666667,18.0,2.0,0.95,9.625,24.0,26.0,17.0,1020.0,5.0,18.0,0.0,5.0,1.0,21.5,2010/09/17,2010,9,17,4,2,7,9,22.907162847815385
2010-09-19,29.0,16.0,1.3888888888888888,16.0,,0.8,10.0,10.0,29.0,15.0,1021.0,5.0,18.0,0.0,6.0,0.0,22.5,2010/09/19,2010,9,19,6,1,10,11,24.522849572399384
2010-09-20,25.0,16.0,5.0,16.0,,0.83,10.0,10.0,25.0,17.0,1019.0,5.0,18.0,0.0,0.0,0.0,20.5,2010/09/20,2010,9,20,0,34,204,238,21.666882356539553
2010-09-21,27.0,15.0,3.611111111111111,15.0,,0.72,10.0,1.0,26.0,14.0,1023.0,5.0,18.0,0.0,1.0,1.0,21.0,2010/09/21,2010,9,21,1,109,226,335,22.433873998696992
2010-09-22,34.0,18.0,3.611111111111111,18.0,,0.85,10.0,13.0,37.0,20.0,1019.0,5.0,18.0,0.0,2.0,1.0,26.0,2010/09/22,2010,9,22,2,117,289,406,27.97601948829227
2010-09-23,33.0,21.0,2.2222222222222223,21.0,,0.85,9.0,7.0,37.0,22.0,1022.0,5.0,18.0,0.0,3.0,1.0,27.0,2010/09/23,2010,9,23,3,124,256,380,29.14544083565613
2010-09-24,35.0,21.0,4.444444444444445,21.0,,0.8,9.0,6.0,36.0,21.0,1020.0,5.0,18.0,0.0,4.0,1.0,28.0,2010/09/24,2010,9,24,4,156,214,370,30.18175982652862
2010-09-25,34.0,21.0,3.0555555555555554,21.0,0.0,0.68,10.0,6.0,36.0,19.0,1013.0,5.0,18.0,0.0,5.0,1.0,27.5,2010/09/25,2010,9,25,5,267,288,555,29.653764887282588
