LOG FILE : Scraping Weather Data 
http://www.historique-meteo.net/amerique-du-nord/etats-unis/washington-dc/

Date : 2010/09/15 || Status : 200
Date : 2010/09/16 || Status : 200
Date : 2010/09/17 || Status : 200
Date : 2010/09/19 || Status : 200
Date : 2010/09/20 || Status : 200
Date : 2010/09/21 || Status : 200
Date : 2010/09/22 || Status : 200
Date : 2010/09/23 || Status : 200
Date : 2010/09/24 || Status : 200
Date : 2010/09/25 || Status : 200
Date : 2010/09/26 || Status : 200
Date : 2010/09/27 || Status : 200
Date : 2010/09/28 || Status : 200
Date : 2010/09/29 || Status : 200
Date : 2010/09/30 || Status : 200
Date : 2010/10/01 || Status : 200
Date : 2010/10/02 || Status : 200
Date : 2010/10/03 || Status : 200
Date : 2010/10/04 || Status : 200
Date : 2010/10/05 || Status : 200
Date : 2010/10/06 || Status : 200
Date : 2010/10/07 || Status : 200
Date : 2010/10/08 || Status : 200
Date : 2010/10/09 || Status : 200
Date : 2010/10/10 || Status : 200
Date : 2010/10/11 || Status : 200
Date : 2010/10/12 || Status : 200
Date : 2010/10/13 || Status : 200
Date : 2010/10/14 || Status : 200
Date : 2010/10/15 || Status : 200
Date : 2010/10/16 || Status : 200
Date : 2010/10/17 || Status : 200
Date : 2010/10/18 || Status : 200
Date : 2010/10/19 || Status : 200
Date : 2010/10/20 || Status : 200
Date : 2010/10/21 || Status : 200
Date : 2010/10/22 || Status : 200
Date : 2010/10/23 || Status : 200
Date : 2010/10/24 || Status : 200
Date : 2010/10/25 || Status : 200
Date : 2010/10/26 || Status : 200
Date : 2010/10/27 || Status : 200
Date : 2010/10/28 || Status : 200
Date : 2010/10/29 || Status : 200
Date : 2010/10/30 || Status : 200
Date : 2010/10/31 || Status : 200
Date : 2010/11/01 || Status : 200
Date : 2010/11/02 || Status : 200
Date : 2010/11/03 || Status : 200
Date : 2010/11/04 || Status : 200
Date : 2010/11/05 || Status : 200
Date : 2010/11/06 || Status : 200
Date : 2010/11/07 || Status : 200
Date : 2010/11/08 || Status : 200
Date : 2010/11/09 || Status : 200
Date : 2010/11/10 || Status : 200
Date : 2010/11/11 || Status : 200
Date : 2010/11/12 || Status : 200
Date : 2010/11/13 || Status : 200
Date : 2010/11/14 || Status : 200
Date : 2010/11/15 || Status : 200
Date : 2010/11/16 || Status : 200
Date : 2010/11/17 || Status : 200
Date : 2010/11/18 || Status : 200
Date : 2010/11/19 || Status : 200
Date : 2010/11/20 || Status : 200
Date : 2010/11/21 || Status : 200
Date : 2010/11/22 || Status : 200
Date : 2010/11/23 || Status : 200
Date : 2010/11/24 || Status : 200
Date : 2010/11/25 || Status : 200
Date : 2010/11/26 || Status : 200
Date : 2010/11/27 || Status : 200
Date : 2010/11/28 || Status : 200
Date : 2010/11/29 || Status : 200
Date : 2010/11/30 || Status : 200
Date : 2010/12/01 || Status : 200
Date : 2010/12/02 || Status : 200
Date : 2010/12/03 || Status : 200
Date : 2010/12/04 || Status : 200
Date : 2010/12/05 || Status : 200
Date : 2010/12/06 || Status : 200
Date : 2010/12/07 || Status : 200
Date : 2010/12/08 || Status : 200
Date : 2010/12/09 || Status : 200
Date : 2010/12/10 || Status : 200
Date : 2010/12/11 || Status : 200
Date : 2010/12/12 || Status : 200
Date : 2010/12/13 || Status : 200
Date : 2010/12/14 || Status : 200
Date : 2010/12/15 || Status : 200
Date : 2010/12/16 || Status : 200
Date : 2010/12/17 || Status : 200
Date : 2010/12/18 || Status : 200
Date : 2010/12/19 || Status : 200
Date : 2010/12/20 || Status : 200
Date : 2010/12/21 || Status : 200
Date : 2010/12/22 || Status : 200
Date : 2010/12/23 || Status : 200
Date : 2010/12/24 || Status : 200
Date : 2010/12/25 || Status : 200
Date : 2010/12/26 || Status : 200
Date : 2010/12/27 || Status : 200
Date : 2010/12/28 || Status : 200
Date : 2010/12/29 || Status : 200
Date : 2010/12/30 || Status : 200
Date : 2010/12/31 || Status : 200
Date : 2011/01/01 || Status : 200
Managed to write back up file
Date : 2011/01/02 || Status : 200
Date : 2011/01/03 || Status : 200
Date : 2011/01/04 || Status : 200
Date : 2011/01/05 || Status : 200
Date : 2011/01/06 || Status : 200
Date : 2011/01/07 || Status : 200
Date : 2011/01/08 || Status : 200
Date : 2011/01/09 || Status : 200
Date : 2011/01/10 || Status : 200
Date : 2011/01/11 || Status : 200
Date : 2011/01/12 || Status : 200
Date : 2011/01/13 || Status : 200
Date : 2011/01/14 || Status : 200
Date : 2011/01/15 || Status : 200
Date : 2011/01/16 || Status : 200
Date : 2011/01/17 || Status : 200
Date : 2011/01/18 || Status : 200
Date : 2011/01/19 || Status : 200
Date : 2011/01/20 || Status : 200
Date : 2011/01/21 || Status : 200
Date : 2011/01/22 || Status : 200
Date : 2011/01/23 || Status : 200
Date : 2011/01/24 || Status : 200
Date : 2011/01/25 || Status : 200
Date : 2011/01/26 || Status : 200
Date : 2011/01/27 || Status : 200
Date : 2011/01/28 || Status : 200
Date : 2011/01/29 || Status : 200
Date : 2011/01/30 || Status : 200
Date : 2011/01/31 || Status : 200
Date : 2011/02/01 || Status : 200
Date : 2011/02/02 || Status : 200
Date : 2011/02/03 || Status : 200
Date : 2011/02/04 || Status : 200
Date : 2011/02/05 || Status : 200
Date : 2011/02/06 || Status : 200
Date : 2011/02/07 || Status : 200
Date : 2011/02/08 || Status : 200
Date : 2011/02/09 || Status : 200
Date : 2011/02/10 || Status : 200
Date : 2011/02/11 || Status : 200
Date : 2011/02/12 || Status : 200
Date : 2011/02/13 || Status : 200
Date : 2011/02/14 || Status : 200
Date : 2011/02/15 || Status : 200
Date : 2011/02/16 || Status : 200
Date : 2011/02/17 || Status : 200
Date : 2011/02/18 || Status : 200
Date : 2011/02/19 || Status : 200
Date : 2011/02/20 || Status : 200
Date : 2011/02/21 || Status : 200
Date : 2011/02/22 || Status : 200
Date : 2011/02/23 || Status : 200
Date : 2011/02/24 || Status : 200
Date : 2011/02/25 || Status : 200
Date : 2011/02/26 || Status : 200
Date : 2011/02/27 || Status : 200
Date : 2011/02/28 || Status : 200
Date : 2011/03/01 || Status : 200
Date : 2011/03/02 || Status : 200
Date : 2011/03/03 || Status : 200
Date : 2011/03/04 || Status : 200
Date : 2011/03/05 || Status : 200
Date : 2011/03/06 || Status : 200
Date : 2011/03/07 || Status : 200
Date : 2011/03/08 || Status : 200
Date : 2011/03/09 || Status : 200
Date : 2011/03/10 || Status : 200
Date : 2011/03/11 || Status : 200
Date : 2011/03/12 || Status : 200
Date : 2011/03/13 || Status : 200
Date : 2011/03/14 || Status : 200
Date : 2011/03/15 || Status : 200
Date : 2011/03/16 || Status : 200
Date : 2011/03/17 || Status : 200
Date : 2011/03/18 || Status : 200
Date : 2011/03/19 || Status : 200
Date : 2011/03/20 || Status : 200
Date : 2011/03/21 || Status : 200
Date : 2011/03/22 || Status : 200
Date : 2011/03/23 || Status : 200
Date : 2011/03/24 || Status : 200
Date : 2011/03/25 || Status : 200
Date : 2011/03/26 || Status : 200
Date : 2011/03/27 || Status : 200
Date : 2011/03/28 || Status : 200
Date : 2011/03/29 || Status : 200
Date : 2011/03/30 || Status : 200
Date : 2011/03/31 || Status : 200
Date : 2011/04/01 || Status : 200
Date : 2011/04/02 || Status : 200
Date : 2011/04/03 || Status : 200
Date : 2011/04/04 || Status : 200
Date : 2011/04/05 || Status : 200
Date : 2011/04/06 || Status : 200
Date : 2011/04/07 || Status : 200
Date : 2011/04/08 || Status : 200
Date : 2011/04/09 || Status : 200
Date : 2011/04/10 || Status : 200
Date : 2011/04/11 || Status : 200
Date : 2011/04/12 || Status : 200
Date : 2011/04/13 || Status : 200
Date : 2011/04/14 || Status : 200
Date : 2011/04/15 || Status : 200
Date : 2011/04/16 || Status : 200
Date : 2011/04/17 || Status : 200
Date : 2011/04/18 || Status : 200
Date : 2011/04/19 || Status : 200
Date : 2011/04/20 || Status : 200
Date : 2011/04/21 || Status : 200
Date : 2011/04/22 || Status : 200
Date : 2011/04/23 || Status : 200
Date : 2011/04/24 || Status : 200
Date : 2011/04/25 || Status : 200
Date : 2011/04/26 || Status : 200
Date : 2011/04/27 || Status : 200
Date : 2011/04/28 || Status : 200
Date : 2011/04/29 || Status : 200
Date : 2011/04/30 || Status : 200
Date : 2011/05/01 || Status : 200
Date : 2011/05/02 || Status : 200
Date : 2011/05/03 || Status : 200
Date : 2011/05/04 || Status : 200
Date : 2011/05/05 || Status : 200
Date : 2011/05/06 || Status : 200
Date : 2011/05/07 || Status : 200
Date : 2011/05/08 || Status : 200
Date : 2011/05/09 || Status : 200
Date : 2011/05/10 || Status : 200
Date : 2011/05/11 || Status : 200
Date : 2011/05/12 || Status : 200
Date : 2011/05/13 || Status : 200
Date : 2011/05/14 || Status : 200
Date : 2011/05/15 || Status : 200
Date : 2011/05/16 || Status : 200
Date : 2011/05/17 || Status : 200
Date : 2011/05/18 || Status : 200
Date : 2011/05/19 || Status : 200
Date : 2011/05/20 || Status : 200
Date : 2011/05/21 || Status : 200
Date : 2011/05/22 || Status : 200
Date : 2011/05/23 || Status : 200
Date : 2011/05/24 || Status : 200
Date : 2011/05/25 || Status : 200
Date : 2011/05/26 || Status : 200
Date : 2011/05/27 || Status : 200
Date : 2011/05/28 || Status : 200
Date : 2011/05/29 || Status : 200
Date : 2011/05/30 || Status : 200
Date : 2011/05/31 || Status : 200
Date : 2011/06/01 || Status : 200
Date : 2011/06/02 || Status : 200
Date : 2011/06/03 || Status : 200
