station,stationNumber
10th & U St NW,31111
Park Rd & Holmead Pl NW,31602
Calvert St & Woodley Pl NW,31106
20th St & Florida Ave NW,31110
Lamont & Mt Pleasant NW,31107
11th & Kenyon St NW,31102
17th & Corcoran St NW,31214
Florida Ave & R St NW,31503
14th & V St NW,31101
Georgia Ave and Fairmont St NW,31207
7th & T St NW,31109
Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613
14th & Harvard St NW,31105
13th & D St NE,31622
Georgia & New Hampshire Ave NW,31400
15th & P St NW,31201
New York Ave & 15th St NW,31222
Lincoln Park / 13th & East Capitol St NE ,31619
C & O Canal & Wisconsin Ave NW,31225
S Glebe & Potomac Ave,31010
Potomac & Pennsylvania Ave SE,31606
Adams Mill & Columbia Rd NW,31104
14th & Rhode Island Ave NW,31203
14th St & Spring Rd NW,31401
Massachusetts Ave & Dupont Circle NW,31200
Convention Center / 7th & M St NW,31223
14th & D St SE,31607
18th & M St NW,31221
16th & Harvard St NW,31103
14th St Heights / 14th & Crittenden St NW,31402
5th St & K St NW,31600
Van Ness Metro / UDC,31300
4th St & Massachusetts Ave NW,31604
23rd & Crystal Dr,31011
8th & H St NW,31228
10th & Monroe St NE,31504
13th & H St NE,31611
17th & K St NW [formerly 17th & L St NW],31213
Wisconsin Ave & Macomb St NW,31302
18th & Hayes St,31004
27th & Crystal Dr,31009
1st & M St NE,31603
McPherson Square - 14th & H St NW,31216
5th & F St NW,31620
16th & U St NW,31229
14th & R St NW,31202
USDA / 12th & Independence Ave SW,31217
Columbus Circle / Union Station,31623
10th St & Constitution Ave NW,31219
4th & Adams St NE,31500
4th & M St SW,31108
4th & East Capitol St NE,31618
3rd & D St SE,31605
25th St & Pennsylvania Ave NW,31237
L'Enfant Plaza / 7th & C St SW,31218
19th & E Street NW,31206
20th & E St NW,31204
7th & Water St SW / SW Waterfront,31609
S Joyce & Army Navy Dr,31006
14th & G St NW,31238
19th St & Constitution Ave NW,31235
21st & I St NW,31205
Bladensburg Rd & Benning Rd NE,31617
Tenleytown / Wisconsin Ave & Albemarle St NW,31303
18th & Bell St,31007
21st & M St NW,31212
North Capitol St & F St NW,31624
Georgetown Harbor / 30th St NW,31215
20th & Crystal Dr,31002
34th St & Wisconsin Ave NW,31226
36th & Calvert St NW / Glover Park,31304
19th St & Pennsylvania Ave NW,31100
8th & Eye St SE / Barracks Row,31608
3rd & H St NE,31616
Eastern Market / 7th & North Carolina Ave SE,31610
John McCormack Dr & Michigan Ave NE,31502
Harvard St & Adams Mill Rd NW,31112
M St & New Jersey Ave SE,31208
Eckington Pl & Q St NE,31505
US Dept of State / Virginia Ave & 21st St NW,31220
19th & East Capitol St SE,31601
13th St & New York Ave NW,31227
Pennsylvania & Minnesota Ave SE,31805
1st & N ST SE,31209
15th & Hayes St,31005
Connecticut Ave & Newark St NW / Cleveland Park,31305
12th & Newton St NE,31501
Good Hope & Naylor Rd SE,31700
15th & Crystal Dr,31003
12th & Army Navy Dr,31008
19th & L St NW,31224
12th & Hayes St,31001
Kennedy Center,31211
23rd & Eads,31013
37th & O St NW / Georgetown University,31236
26th & Crystal Dr,31012
Ward Circle / American University,31301
Alta Bicycle Share Demonstration Station,31999
Good Hope Rd & MLK Ave SE,31802
Minnesota Ave Metro/DOES,31703
Anacostia Library,31804
20th & Bell St,31000
Randle Circle & Minnesota Ave NE,31702
Anacostia Metro,31801
Benning Branch Library,31705
Nannie Helen Burroughs & Minnesota Ave NE,31704
19th & New Hampshire Ave NW,31234
17th & K St NW / Farragut Square,31233
N Rhodes & 16th St N,31018
Metro Center / 12th & G St NW,31230
7th & F St NW / National Portrait Gallery,31232
Lynn & 19th St North,31014
14th & D St NW / Ronald Reagan Building,31231
4th & D St NW / Judiciary Square,31621
Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015
Clarendon Blvd & Pierce St,31016
Fairfax Village,31706
Branch & Pennsylvania Ave SE,31701
Birthday Station,31900
Columbia Rd & Belmont St NW,31113
6th & H St NE,31615
15th St & Massachusetts Ave SE,31626
7th & R St NW / Shaw Library,31245
Thomas Circle,31241
9th & Upshur St NW,31404
1st & Rhode Island Ave NW,31506
California St & Florida Ave NW,31116
Columbia Rd & Georgia Ave NW,31115
Wilson Blvd & Franklin Rd,31020
11th & H St NE,31614
M St & Pennsylvania Ave NW,31246
Wilson Blvd & N Edgewood St,31019
3rd & G St SE,31625
3000 Connecticut Ave NW / National Zoo,31307
Benning Rd & East Capitol St NE / Benning Rd Metro,31707
18th St & Pennsylvania Ave NW,31242
4th & E St SW,31244
17th & Rhode Island Ave NW,31239
N Highland St & Wilson Blvd,31022
Court House Metro / Wilson Blvd & N Uhle St,31017
N Fillmore St & Clarendon Blvd,31021
Congress Heights Metro,31806
Anacostia Ave & Benning Rd NE / River Terrace ,31708
California St & Florida Ave NW,31116
Jefferson Dr & 14th St SW,31247
New Hampshire Ave & T St NW,31229
Eastern Market / 7th & North Carolina Ave SE,31610
Lincoln Memorial,31258
New York Ave & 15th St NW,31222
Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015
7th & R St NW / Shaw Library,31245
12th & U St NW,31268
Columbus Circle / Union Station,31623
8th & H St NW,31228
Clarendon Metro / Wilson Blvd & N Highland St,31022
14th & V St NW,31101
18th St & Wyoming Ave NW,31114
14th & Rhode Island Ave NW,31203
11th & Kenyon St NW,31102
8th & East Capitol St NE,31629
S Joyce & Army Navy Dr,31006
20th & E St NW,31204
5th & K St NW,31600
Wisconsin Ave & O St NW,31312
M St & Delaware Ave NE,31627
16th & Harvard St NW,31103
Clarendon Blvd & Pierce St,31016
13th & H St NE,31611
14th & D St SE,31607
24th & N St NW,31255
Adams Mill & Columbia Rd NW,31104
USDA / 12th & Independence Ave SW,31217
Anacostia Ave & Benning Rd NE / River Terrace ,31708
Shady Grove Metro West,32045
Virginia Square Metro / N Monroe St & 9th St N,31024
11th & M St NW,31266
14th & Belmont St NW,31119
21st & M St NW,31212
Connecticut Ave & Tilden St NW,31313
Wilson Blvd & Franklin Rd,31020
7th & T St NW,31109
21st St & Pennsylvania Ave NW,31252
17th & K St NW / Farragut Square,31233
21st St & Constitution Ave NW,31261
Ballston Metro / N Stuart & 9th St N,31037
5th & F St NW,31620
4th & D St NW / Judiciary Square,31621
17th & K St NW,31213
11th & H St NE,31614
6th & H St NE,31615
Eisenhower Ave & Mill Race Ln,31082
Anacostia Library,31804
Van Ness Metro / UDC,31300
3rd & H St NW,31604
C & O Canal & Wisconsin Ave NW,31225
1st & N St  SE,31209
Lincoln Park / 13th & East Capitol St NE ,31619
20th & O St NW / Dupont South,31234
King Farm Blvd & Pleasant Dr,32037
19th & East Capitol St SE,31601
Lamont & Mt Pleasant NW,31107
D St & Maryland Ave NE,31612
Carroll & Ethan Allen Ave,32026
3rd St & Pennsylvania Ave SE,31269
3rd & G St SE,31625
12th & L St NW,31251
Gallaudet / 8th St & Florida Ave NE,31508
15th & Euclid St  NW,31117
New Jersey Ave & N St NW/Dunbar HS,31636
Calvert & Biltmore St NW,31106
Florida Ave & R St NW,31503
15th St & Massachusetts Ave SE,31626
4th & East Capitol St NE,31618
Georgia Ave & Emerson St NW,31405
5th St & Massachusetts Ave NW,31265
1st & Rhode Island Ave NW,31506
Massachusetts Ave & Dupont Circle NW,31200
39th & Veazey St NW,31308
Potomac & Pennsylvania Ave SE,31606
4th & E St SW,31244
13th & D St NE,31622
14th St Heights / 14th & Crittenden St NW,31402
19th & L St NW,31224
3000 Connecticut Ave NW / National Zoo,31307
North Capitol St & F St NW,31624
19th & K St NW,31253
Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613
15th & F St NE,31632
Neal St & Trinidad Ave NE,31512
20th St & Florida Ave NW,31110
Thomas Circle,31241
N Adams St & Lee Hwy,31030
21st St N & N Pierce St,31093
King St Metro,31048
Columbia Rd & Belmont St NW,31113
Lee Hwy & N Scott St,31080
1st & K St SE,31628
17th & Corcoran St NW,31214
14th St & Spring Rd NW,31401
17th & Rhode Island Ave NW,31239
10th & Florida Ave NW,31120
8th & Eye St SE / Barracks Row,31608
Pennsylvania & Minnesota Ave SE,31805
Fenton St & Gist Ave,32024
Rhode Island Ave Metro,31516
14th & Harvard St NW,31105
11th & S St NW,31280
N Pershing Dr & Wayne St,31065
4th & M St SW,31108
Washington & Independence Ave SW/HHS,31272
15th & P St NW,31201
